2023-09-04 20:11:22,162 INFO    StreamThr :3691295 [internal.py:wandb_internal():86] W&B internal server running at pid: 3691295, started at: 2023-09-04 20:11:22.162063
2023-09-04 20:11:22,163 DEBUG   HandlerThread:3691295 [handler.py:handle_request():144] handle_request: status
2023-09-04 20:11:22,167 INFO    WriterThread:3691295 [datastore.py:open_for_write():85] open: /home/s223540177/dai/SimpleRL/A2C_/wandb/run-20230904_201122-ne8nnd7c/run-ne8nnd7c.wandb
2023-09-04 20:11:22,168 DEBUG   SenderThread:3691295 [sender.py:send():379] send: header
2023-09-04 20:11:22,181 DEBUG   SenderThread:3691295 [sender.py:send():379] send: run
2023-09-04 20:11:22,697 INFO    SenderThread:3691295 [dir_watcher.py:__init__():211] watching files in: /home/s223540177/dai/SimpleRL/A2C_/wandb/run-20230904_201122-ne8nnd7c/files
2023-09-04 20:11:22,698 INFO    SenderThread:3691295 [sender.py:_start_run_threads():1121] run started: ne8nnd7c with start time 1693822282.163536
2023-09-04 20:11:22,698 DEBUG   SenderThread:3691295 [sender.py:send_request():406] send_request: summary_record
2023-09-04 20:11:22,698 INFO    SenderThread:3691295 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2023-09-04 20:11:22,703 DEBUG   HandlerThread:3691295 [handler.py:handle_request():144] handle_request: check_version
2023-09-04 20:11:22,803 DEBUG   SenderThread:3691295 [sender.py:send_request():406] send_request: check_version
2023-09-04 20:11:22,833 DEBUG   HandlerThread:3691295 [handler.py:handle_request():144] handle_request: run_start
2023-09-04 20:11:22,838 DEBUG   HandlerThread:3691295 [system_info.py:__init__():31] System info init
2023-09-04 20:11:22,838 DEBUG   HandlerThread:3691295 [system_info.py:__init__():46] System info init done
2023-09-04 20:11:22,838 INFO    HandlerThread:3691295 [system_monitor.py:start():181] Starting system monitor
2023-09-04 20:11:22,838 INFO    SystemMonitor:3691295 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-04 20:11:22,838 INFO    HandlerThread:3691295 [system_monitor.py:probe():201] Collecting system info
2023-09-04 20:11:22,839 INFO    SystemMonitor:3691295 [interfaces.py:start():190] Started cpu monitoring
